Name KA;Bundesland;Rechtswert;Hochwert;Koordinatensystem;Ausbaugröße;Jahresabwassermenge [m^3/a];Abwassereinigung;pl_n_tech;pl_p_tech;pl_uv;pl_chlorination;pl_ozonation;pl_sand_filtration;pl_micro_filtration;pl_other;pl_other_comment;N-Ablauffracht [kg/a];P-Ablauffracht [kg/a];Einleitgewässer;Flusseinzugsgebiet;Flussgebietseinheit;lat;long
Schönermark OHV;BB;33373535;5876263;ETRS89_UTM33;30000;1033500;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2067;879;Nordumfluter (zur Havel);Elbe;Elbe;53.02094496;13.11456069
Luckenwalde;BB;33373719;5774910;ETRS89_UTM33;40000;1556000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4000;2300;Nuthe- Illichengraben;Elbe;Elbe;52.11029774;13.15591103
Mühlberg;BB;33376265;5701084;ETRS89_UTM33;4800;89290;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);118;313;Brottewitzer Graben;Elbe;Elbe;51.44740721;13.21938707
Schönewalde;BB;33376906;5741168;ETRS89_UTM33;8000;127000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);197;839;Schweinitzer Fließ;Elbe;Elbe;51.80778967;13.21451673
Herzberg;BB;33377075;5730420;ETRS89_UTM33;25000;440000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1274;212;Schwarze Elster;Elbe;Elbe;51.71123479;13.22076846
Trebbin;BB;33379809;5787505;ETRS89_UTM33;10000;215000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1098;217;Amtgraben;Elbe;Elbe;52.22483935;13.24033667
Stahnsdorf BWB;BB;33380756;5804416;ETRS89_UTM33;430000;18541801;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);224000;5500;Teltow-Kanal;Elbe;Elbe;52.3770126;13.24820588
Grüneberg-Hallegraben;BB;33381406;5858399;ETRS89_UTM33;12000;326000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3036;450;Hallegraben;Elbe;Elbe;52.86223436;13.23837834
Fürstenberg/Bredereiche;BB;33381427;5889800;ETRS89_UTM33;8000;196000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1996;598;Obere Havel;Elbe;Elbe;53.14438157;13.22716572
Ludwigsfelde;BB;33382595;5795311;ETRS89_UTM33;48000;1307000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2745;1045;Mittelgraben;Elbe;Elbe;52.2955889;13.27839001
Uebigau;BB;33382607;5718850;ETRS89_UTM33;17000;432000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);825;555;Schwarze Elster;Elbe;Elbe;51.60843397;13.30468637
Hohenseefeld;BB;33382826;5749044;ETRS89_UTM33;4200;73300;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);396;37;Wiepersdorfer Wasserheide;Elbe;Elbe;51.87984525;13.29767616
Schlieben;BB;33386934;5731650;ETRS89_UTM33;5500;121000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);206;945;Todtengraben;Elbe;Elbe;51.72436345;13.36300411
